Radius;Image42;Image43;Image44;Image45;Image46;Image47;Image48;Image49;Image50;Image51;Image52;Image53;Image54;Image55;Image56;Image57;Image58;Image59;Image60;Image61
102;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
103;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
104;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
105;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
106;0;2;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
107;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
108;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
109;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
110;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
111;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
112;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
113;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
114;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
115;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
