Radius;Image82;Image83;Image84;Image85;Image86;Image87;Image88;Image89;Image90;Image91;Image92;Image93;Image94;Image95;Image96;Image97;Image98;Image99;Image100;Image101
36;21;8;7;9;10;4;5;9;7;8;6;18;8;4;23;11;17;21;13;22
37;18;9;8;9;10;5;8;9;6;10;5;15;7;6;28;16;16;19;10;23
38;15;9;7;6;8;6;9;8;11;8;8;15;7;4;23;15;14;20;8;18
39;15;8;8;12;11;7;12;11;11;7;5;14;5;4;28;13;14;14;8;22
40;9;9;8;8;8;8;12;10;9;7;5;20;7;6;21;14;18;12;9;22
41;7;9;9;7;11;7;6;8;10;7;6;22;5;4;27;15;22;14;10;20
42;7;16;9;7;9;6;6;11;11;9;8;16;5;5;21;14;16;12;6;25
43;6;15;8;8;13;6;2;9;8;13;7;18;5;5;26;11;17;11;9;18
44;10;11;8;11;9;5;3;8;12;11;7;17;10;10;28;16;17;7;9;20
45;5;13;8;7;5;4;6;11;11;14;8;20;4;6;23;12;19;7;6;15
46;4;14;8;7;5;4;6;13;8;11;12;19;3;3;19;12;17;6;7;18
47;1;15;8;10;2;4;8;8;7;15;8;17;3;7;18;12;16;10;5;18
48;0;12;8;13;1;4;5;9;7;11;17;26;2;5;19;6;14;10;11;31
49;0;11;8;9;0;3;2;9;5;14;12;25;4;5;16;14;15;9;12;25
50;0;15;9;6;0;5;2;9;4;13;15;20;3;5;17;10;15;9;15;24
51;0;16;11;6;0;6;2;7;3;12;8;18;2;5;16;10;14;4;6;23
52;0;19;7;5;0;7;1;8;5;11;8;21;3;6;19;10;18;4;8;20
53;0;18;7;8;0;2;1;9;10;12;11;23;2;6;15;11;21;4;11;16
54;0;20;6;4;0;5;2;10;9;11;7;24;2;7;12;10;17;5;12;15
55;0;18;6;3;0;5;2;8;9;9;8;22;2;7;21;8;18;2;9;12
56;0;14;9;3;0;6;2;7;9;9;7;26;2;9;22;11;18;3;9;11
57;0;18;8;2;0;2;2;7;10;12;7;21;4;9;15;7;18;2;11;12
58;0;13;8;1;0;1;1;8;13;12;6;28;3;9;23;8;17;2;9;16
59;0;12;7;1;0;1;1;9;12;11;6;27;2;8;16;11;20;6;8;15
60;0;10;7;1;0;1;1;8;11;11;8;28;2;6;12;6;21;2;8;18
61;0;13;7;1;0;1;4;8;11;13;10;23;3;7;10;5;14;4;5;12
62;0;15;7;1;0;1;4;11;15;15;10;23;2;10;12;5;11;6;6;10
63;0;15;6;1;0;2;2;11;12;10;9;26;3;10;11;4;13;4;7;11
64;0;11;6;1;0;2;2;7;8;12;6;23;5;13;13;5;10;4;5;10
65;0;20;7;0;0;1;2;4;11;12;6;21;4;11;15;5;11;6;8;8
66;0;17;6;0;0;1;0;3;10;13;7;19;2;7;18;5;6;6;17;6
67;0;11;5;0;0;2;0;3;12;13;4;22;2;5;18;5;4;7;9;4
68;0;8;9;0;0;1;0;2;11;11;5;15;2;4;14;5;4;2;13;7
69;0;7;7;0;0;2;0;3;13;8;3;18;2;10;17;5;4;4;13;4
70;0;6;6;0;0;1;0;3;11;10;3;13;2;11;11;6;4;4;12;8
71;0;6;5;0;0;2;0;5;9;9;3;15;2;8;8;8;4;4;12;6
72;0;6;5;0;0;1;0;6;3;11;3;12;2;7;5;4;4;2;10;5
73;0;10;5;0;0;1;0;3;7;7;3;14;3;4;6;5;3;2;10;5
74;0;8;4;0;0;1;0;2;9;10;3;18;2;3;9;8;3;2;16;4
75;0;7;4;0;0;1;0;3;5;9;2;16;2;1;5;7;3;1;12;3
76;0;7;4;0;0;1;0;2;5;11;1;15;2;1;6;9;2;1;11;5
77;0;7;3;0;0;0;0;3;4;13;1;11;2;2;2;9;2;1;8;5
78;0;9;3;0;0;0;0;4;3;12;1;6;2;2;1;8;3;1;8;5
79;0;6;3;0;0;0;0;3;2;7;1;5;2;2;1;5;3;2;5;2
80;0;8;3;0;0;0;0;3;2;8;1;5;1;4;2;5;4;2;5;1
81;0;7;3;0;0;0;0;5;2;8;1;4;1;3;2;6;5;2;6;2
82;0;6;3;0;0;0;0;4;0;11;1;4;1;3;1;4;5;1;8;2
83;0;5;3;0;0;0;0;5;0;10;1;4;1;3;2;4;3;1;7;1
84;0;7;3;0;0;0;0;4;0;9;1;4;1;4;1;3;4;1;6;3
85;0;7;3;0;0;0;0;3;0;12;1;5;1;1;2;3;3;1;6;1
86;0;7;3;0;0;0;0;3;0;9;1;4;1;3;3;4;3;1;4;1
87;0;5;4;0;0;0;0;3;0;7;1;5;1;3;3;4;3;1;5;1
88;0;5;3;0;0;0;0;6;0;7;1;4;1;2;2;3;4;1;2;1
89;0;5;3;0;0;0;0;2;0;7;2;3;1;1;6;5;2;1;3;2
90;0;5;3;0;0;0;0;2;0;9;1;2;1;2;3;4;5;2;2;2
91;0;5;2;0;0;0;0;3;0;7;1;1;1;2;1;3;5;1;2;1
92;0;6;1;0;0;0;0;2;0;9;1;1;1;1;1;2;5;0;3;1
93;0;5;1;0;0;0;1;4;0;5;1;1;1;2;1;3;4;0;6;1
94;0;3;1;0;0;0;0;4;0;6;1;1;1;2;2;5;2;0;3;1
95;0;2;1;0;0;0;0;2;0;4;1;1;1;3;2;3;3;0;4;0
96;0;2;1;0;0;0;0;2;0;3;0;1;1;3;1;1;3;0;2;0
97;0;2;1;0;0;0;0;3;0;3;0;1;1;1;0;0;3;0;1;0
98;0;2;1;0;0;0;0;3;0;4;0;0;1;1;0;0;5;0;1;0
99;0;2;1;0;0;0;1;2;0;3;0;0;1;2;1;0;2;0;1;0
100;0;2;1;0;0;0;0;2;0;6;0;0;1;1;1;0;2;0;2;0
101;0;2;1;0;0;0;0;2;0;2;0;0;1;3;0;0;1;0;2;0
102;0;4;1;0;0;0;0;2;0;2;0;0;1;4;0;0;2;0;2;0
103;0;4;1;0;0;0;0;2;0;2;0;0;1;3;0;0;1;0;5;0
104;0;2;1;0;0;0;0;2;0;3;0;0;1;2;0;0;1;0;5;0
105;0;2;1;0;0;0;1;2;0;2;0;0;1;1;0;0;1;0;4;0
