Radius;Image138;Image139;Image140;Image141;Image142;Image143;Image144;Image145;Image146;Image147;Image148;Image149;Image150;Image151;Image152;Image153;Imag154;Image155;Image156;Image157;Image158;Image159;Image160;Image161
70;6;0;1;5;0;3;5;0;0;3;0;7;4;1;1;0;1;11;7;4;3;8;15;0
71;5;0;1;6;0;2;3;0;0;3;0;1;1;1;2;0;1;8;5;4;3;6;14;0
72;6;0;1;4;0;3;2;0;0;3;0;0;1;1;1;0;0;8;9;2;2;7;12;0
73;6;0;1;5;0;2;2;0;0;1;0;0;1;1;1;0;1;7;10;6;2;5;13;0
74;7;0;4;6;0;3;2;0;0;1;0;0;1;1;1;0;1;7;10;3;2;8;20;0
75;5;0;0;5;0;3;2;0;0;3;0;0;1;1;1;0;1;6;8;2;2;5;15;0
76;5;0;0;3;0;1;2;0;0;2;0;0;1;1;0;0;0;9;12;2;2;3;8;0
77;4;0;0;3;0;1;2;0;0;2;0;0;2;1;0;0;0;9;8;2;2;5;8;0
78;4;0;0;2;0;1;1;0;0;1;0;0;2;1;0;0;0;8;14;3;2;4;8;0
79;4;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;6;9;3;2;4;10;0
80;4;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;8;10;4;2;5;6;0
81;4;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;10;10;7;2;4;6;0
82;4;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;9;7;2;2;2;7;0
83;5;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;10;7;1;2;1;7;0
84;3;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;7;9;1;2;1;6;0
85;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;9;9;2;2;1;6;0
86;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;8;9;3;3;1;5;0
87;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6;4;1;2;1;4;0
88;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;8;2;2;1;5;0
89;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;9;6;1;2;1;3;0
90;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;8;7;0;3;1;6;0
91;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;11;7;1;3;1;5;0
92;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;9;9;2;2;1;5;0
93;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;7;9;2;1;1;5;0
94;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;5;9;1;1;1;4;0
95;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;4;8;1;1;3;3;0
96;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;5;8;1;1;1;3;0
97;2;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;5;7;1;1;2;3;0
98;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;5;7;1;1;2;3;0
99;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;11;5;0;1;1;3;0
100;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;10;7;0;1;1;1;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;6;0;1;2;1;0
102;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;10;0;1;1;1;0
103;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;6;0;1;1;1;0
104;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;1;1;0;0
105;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;1;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;0
107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0
108;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0
109;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
110;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
111;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;1;0;0
113;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0
114;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;1;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;1;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;1;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
