Radius;Image62;Image63;Image64;Image65;Image66;Image67;Image68;Image69;Image70;Image71;Image72;Image73;Image74;Image75;Image76;Image77;Image78;Image79;Image80;Image81
53;6;5;4;8;5;2;15;4;7;2;5;3;6;2;9;3;3;11;8;2
54;4;6;4;11;3;2;19;3;6;4;5;8;6;2;11;4;4;10;5;2
55;3;5;3;6;3;1;16;4;6;3;5;9;9;2;11;4;2;9;5;2
56;2;3;1;6;3;1;18;2;8;3;6;8;5;6;10;3;2;11;4;6
57;2;6;1;3;3;1;16;4;10;2;7;7;5;5;6;3;1;9;7;2
58;2;8;2;3;2;1;16;6;11;2;6;5;8;4;6;3;1;8;9;2
59;2;6;3;4;1;1;20;4;7;2;9;10;3;4;5;3;1;7;5;2
60;2;3;3;3;1;1;11;5;9;2;11;5;4;6;4;3;1;6;6;3
61;2;2;1;6;1;1;14;6;11;2;10;6;4;8;3;4;1;7;5;4
62;2;4;2;5;3;1;14;7;9;3;7;6;2;3;2;4;3;7;4;3
63;2;3;1;4;4;1;10;8;8;5;8;4;2;2;1;4;2;8;5;1
64;2;2;1;7;2;1;5;7;7;2;5;5;3;4;1;3;1;5;4;2
65;2;3;3;4;3;1;3;4;7;2;6;4;1;2;1;3;1;5;4;2
66;1;4;2;1;1;1;3;5;7;3;5;3;2;2;1;4;2;5;3;1
67;1;4;1;1;2;1;4;6;6;5;7;3;2;3;2;4;2;4;4;1
68;1;7;4;1;1;3;4;6;5;2;5;4;1;2;1;4;2;4;2;2
69;1;8;6;1;2;1;3;6;4;2;5;3;1;2;1;5;2;4;3;2
70;1;2;3;2;1;1;3;6;7;3;5;2;1;2;3;4;1;5;2;2
71;1;7;2;3;1;1;4;6;4;1;10;2;1;3;2;3;2;4;4;1
72;1;6;4;2;1;1;4;6;6;1;5;2;0;5;2;5;2;5;3;1
73;2;6;2;1;1;1;3;10;8;1;2;2;0;3;2;4;1;5;1;1
74;1;4;2;2;1;1;6;6;6;1;1;2;0;2;2;3;1;2;2;2
75;4;3;2;1;1;1;2;6;4;1;1;3;0;3;3;6;1;2;1;1
76;0;4;2;2;1;1;7;4;4;1;1;2;0;3;4;6;0;3;1;2
77;0;12;3;3;1;1;5;5;4;1;1;2;0;3;1;9;0;2;3;3
78;0;8;2;2;3;1;4;8;5;2;1;3;0;5;2;5;0;3;1;3
79;0;2;2;2;1;1;3;4;5;1;1;2;0;4;3;3;0;3;0;5
80;0;8;2;4;1;1;4;4;4;1;1;2;0;6;4;2;0;3;0;7
81;0;3;2;3;1;1;2;7;7;1;1;2;0;3;3;3;0;3;0;4
82;0;6;2;2;2;2;5;6;5;1;1;3;0;1;3;5;0;2;0;3
83;0;3;3;1;2;2;7;5;5;1;1;5;0;1;4;3;0;2;0;2
84;0;7;1;1;1;2;6;5;7;1;1;5;0;1;4;2;0;2;0;1
85;0;9;1;1;1;2;8;3;5;1;1;6;0;2;2;3;0;2;0;2
86;0;9;1;3;1;2;3;5;4;1;1;4;0;2;0;4;0;3;0;4
87;0;11;3;1;1;2;1;3;3;1;1;2;0;1;0;2;0;2;0;4
88;0;4;2;2;1;3;1;2;4;1;1;2;0;1;0;2;0;2;0;6
89;0;8;2;1;1;2;1;1;3;1;1;2;0;1;0;1;0;4;0;3
90;0;6;1;1;1;2;3;1;5;1;1;4;0;1;0;1;0;2;0;3
91;0;6;1;1;1;2;2;1;6;2;1;2;0;3;0;3;0;2;0;4
92;0;5;1;3;1;2;1;1;7;1;1;2;0;1;0;1;0;2;0;3
93;0;7;1;0;1;1;2;1;6;1;1;3;0;1;0;2;0;2;0;3
94;0;8;1;0;1;1;4;1;5;1;1;3;0;3;0;2;0;2;0;2
95;0;4;1;0;2;1;3;1;5;1;0;2;0;3;0;3;0;2;0;6
96;0;4;1;0;1;1;2;0;7;1;0;2;0;1;0;4;0;2;0;2
97;0;3;1;0;1;1;3;0;8;2;0;2;0;2;0;6;0;2;0;1
98;0;3;1;0;1;1;1;0;6;2;0;2;0;2;0;2;1;3;0;1
99;0;2;1;0;1;1;1;0;6;2;0;3;0;1;0;1;0;2;0;1
100;0;2;1;0;2;1;1;0;4;1;0;2;0;1;0;2;0;2;0;1
101;0;4;0;1;1;1;1;0;4;1;0;1;0;1;0;2;0;3;0;0
102;0;5;0;0;1;0;1;0;6;1;0;2;0;1;0;2;0;3;0;0
103;0;3;0;0;1;0;1;0;3;2;0;2;0;3;0;1;0;7;0;0
104;0;3;0;0;1;0;1;0;6;2;0;2;0;3;0;1;0;2;0;0
105;0;2;0;0;1;0;1;0;6;2;0;2;0;1;0;2;0;3;0;0
106;0;1;0;0;1;0;1;0;4;2;0;1;0;1;0;2;0;5;0;0
107;0;1;0;0;1;0;1;0;5;5;0;1;0;2;0;1;0;6;0;0
108;0;1;0;0;2;0;1;0;3;6;0;2;0;4;0;1;0;3;0;0
109;0;0;0;0;2;0;1;0;10;1;0;2;0;1;0;1;1;2;0;0
110;0;0;0;0;1;0;2;0;7;0;0;2;0;0;0;1;0;1;0;0
111;0;0;0;0;1;0;2;0;3;0;0;3;0;0;0;0;0;1;0;0
112;0;0;0;0;1;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0
