Radius;Image1;Image2;Image3;Image4; Image5;Image6;Image7;Image8;Image9;Image 10;Image11;Image12;Image13;Image14;Image15;Image16;Image17;Image18;Image19;Image20;Image21
97;0;0;0;5;0;0;1;4;0;0;0;2;0;3;0;0;0;0;0;0;0
98;0;0;0;2;0;0;1;2;0;0;0;1;0;3;0;0;0;0;0;0;0
99;0;0;0;2;0;0;1;3;0;0;0;1;0;1;0;0;0;0;0;0;0
100;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
101;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
102;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
103;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
104;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
105;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
106;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
107;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
108;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
109;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
110;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
111;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
114;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
